Model,Arena Score
chatgpt-4o-latest,1316.1559008799368
gemini-1.5-pro-exp-0827,1300.858339884338
gemini-1.5-pro-exp-0801,1297.5943084766052
grok-2-2024-08-13,1294.8202956701566
gpt-4o-2024-05-13,1285.594370135461
gpt-4o-mini-2024-07-18,1273.6004783067492
gemini-1.5-flash-exp-0827,1270.530573909611
claude-3-5-sonnet-20240620,1270.11354664813
gemini-advanced-0514,1266.4225960498031
Meta-Llama-3.1-405B-Instruct-Turbo,1266.2446570767684
grok-2-mini-2024-08-13,1264.9513363348758
gpt-4o-2024-08-06,1262.267227397555
gemini-1.5-pro-api-0514,1259.2844314017718
gemini-1.5-pro-api-0409-preview,1257.415754481567
gpt-4-turbo-2024-04-09,1256.8534493659085
gpt4_1106_preview,1250.9850706272746
mistral-large-2407,1249.8268751367702
athene-70b-0725,1249.042255652281
Meta-Llama-3.1-70B-Instruct-Turbo,1248.125657778656
claude-3-opus-20240229,1247.7032274174671
gpt-4-0125-preview,1245.4060092382542
yi-large-preview,1239.5761510938958
reka-core-20240722,1229.2148108171007
gemini-1.5-flash-api-0514,1226.8769924152107
deepseek-v2-api-0628,1219.193631934394
gemma-2-27b-it,1217.6289541211681
deepseek-coder-v2-0724,1214.5634252742652
jamba-1.5-large,1213.1299522212191
yi-large,1212.4668382698053
nemotron-4-340b-instruct,1209.011357668914
bard-jan-24-gemini-pro,1208.8144485884225
glm-4-0520,1206.6341093668432
Meta-Llama-3-70B-Instruct,1206.3236747009073
gemini-1.5-flash-8b-exp-0827,1202.454314251014
claude-3-sonnet-20240229,1201.0927738868857
reka-core-20240501,1199.5261293037884
reka-flash-20240722,1197.6752776247886
command-r-plus,1189.870618414482
gemma-2-9b-it,1187.4992129762861
qwen2-72b-instruct,1186.7832147344348
gpt4_0314,1186.3531224534704
glm-4-0116,1183.1594047000115
qwen-max-0428,1183.14314732213
claude-3-haiku-20240307,1178.5484948812768
deepseek-coder-v2,1178.2078321854622
jamba-1.5-mini,1174.765703421021
Meta-Llama-3.1-8B-Instruct-Turbo,1167.879359380776
reka-flash-preview-20240611,1165.0692278265499
gpt4_0613,1163.013052049895
Qwen1.5-110B-Chat,1161.51909657588
mistral-large-2402,1157.271872307147
yi-1.5-34b-chat,1157.0232630233218
reka-flash-21b-20240226-online,1155.8861722735307
Meta-Llama-3-8B-Instruct,1151.8979088085666
claude,1149.0107040096761
command-r,1148.6665817312105
mistral-medium,1147.9660499632553
reka-flash-21b-20240226,1147.6437889843783
Qwen1.5-72B-Chat,1147.4019873037305
Mixtral-8x22B-Instruct-v0.1,1147.032550421768
claude-2,1132.0751087191488
gemini-pro-dev-api,1131.5453121293156
gemma-2-2b-it,1131.3525236033379
zephyr-orpo-141b-A35b-v0.1,1127.4006047155756
qwen1.5-32b-chat,1125.6191263262713
mistral-next,1124.6996380361697
phi-3-medium-4k-instruct,1123.1375474301426
starling-lm-7b-beta,1118.8467690518946
claude-2.1,1118.2961916399213
gpt-3.5-turbo-0613,1117.0289441863106
Mixtral-8x7B-Instruct-v0.1,1114.0
Yi-34B-Chat,1111.423984505791
claude-instant-1,1111.4087029505495
gemini-pro,1110.7723185324767
Qwen1.5-14B-Chat,1108.6448983107405
gpt-3.5-turbo-0314,1106.6265520002999
wizardlm-70b,1106.1634008283954
gpt-3.5-turbo-0125,1105.721532019224
dbrx-instruct-preview,1103.0848033541163
phi-3-small-8k-instruct,1101.6232513392579
tulu-2-dpo-70b,1099.430549370855
llama-2-70b-chat-hf,1093.1482450000221
openchat-3.5-0106,1091.6620364815649
vicuna-33b,1090.8841288984793
snowflake-arctic-instruct,1089.806222200963
Starling-LM-7B-alpha,1088.38737592401
nous-hermes-2-mixtral-8x7b-dpo,1084.3086567587284
gemma-1.1-7b-it,1083.664867894518
llama2-70b-steerlm-chat,1080.636512872027
pplx-70b-online,1078.023276303738
deepseek-llm-67b-chat,1076.9095023495117
openchat-3.5,1076.434458986757
OpenHermes-2.5-Mistral-7B,1074.8468705395737
Mistral-7B-Instruct-v0.2,1072.2906472717777
Qwen1.5-7B-Chat,1070.0881627298734
phi-3-mini-4k-instruct-june-2024,1069.973768057281
gpt-3.5-turbo-1106,1067.964791568447
phi-3-mini-4k-instruct,1066.0907154620159
llama-2-13b-chat-hf,1063.3230184441516
dolphin-2.2.1-mistral-7b,1062.7996188909613
solar-10.7b-instruct-v1.0,1062.081948881983
wizardlm-13b,1058.7849083474573
zephyr-7b-beta,1053.4103122960232
mpt-30b-chat,1045.682749380471
pplx-7b-online,1044.6971070096836
codellama-34b-instruct,1042.5888760526473
codellama-70b-instruct,1042.5787957754956
vicuna-13b,1042.0892897548601
zephyr-7b-alpha,1041.3507642910843
gemma-7b-it,1037.5570008192894
llama-2-7b-chat-hf,1037.0426673264747
phi-3-mini-128k-instruct,1036.8853256142086
Qwen-14B-Chat,1035.1735739515937
falcon-180b-chat,1034.5503375320727
guanaco-33b,1032.4488339013824
gemma-1.1-2b-it,1020.4350688212141
stripedhyena-nous-7b,1017.4492584250754
olmo-7b-instruct,1015.3803633091484
mistral-7b-instruct,1008.1599564185657
vicuna-7b,1005.1776634105544
palm-2,1003.7625578509801
gemma-2b-it,989.7713012671817
qwen1.5-4b-chat,988.361748647319
koala-13b,964.4327154164946
chatglm3-6b,955.6423525042877
gpt4all-13b-snoozy,931.8890482298086
mpt-7b-chat,927.7672378154393
chatglm2-6b,923.9717673746491
RWKV-4-Raven-14B,922.0067511073055
alpaca-13b,901.6653265386485
oasst-sft-pythia-12b,893.7055367610299
chatglm-6b,879.1613402006525
fastchat-t5-3b,868.319543214831
stablelm-tuned-alpha-7b,839.9622844730961
dolly-v2-12b,822.4817711201266
llama-13b,799.1510190116599
