Model,Arena Score
chatgpt-4o-latest,1300.7205530297138
gemini-1.5-pro-exp-0827,1280.3247298351598
gemini-1.5-pro-exp-0801,1276.526623089635
gpt-4o-2024-05-13,1271.576052626071
grok-2-2024-08-13,1264.5992444533872
claude-3-5-sonnet-20240620,1262.9125498365543
gemini-advanced-0514,1259.80165924117
gpt-4o-2024-08-06,1254.3126026973946
Meta-Llama-3.1-405B-Instruct-Turbo,1254.3120283926578
gemini-1.5-flash-exp-0827,1248.628184199355
gpt-4-turbo-2024-04-09,1248.2054993467614
gemini-1.5-pro-api-0514,1247.6799831587878
gpt-4o-mini-2024-07-18,1247.3340305753363
claude-3-opus-20240229,1239.3816274464161
gpt4_1106_preview,1236.4091438686664
mistral-large-2407,1236.1668278905631
gpt-4-0125-preview,1235.3271060839338
grok-2-mini-2024-08-13,1231.1105908286263
gemini-1.5-pro-api-0409-preview,1230.1778102429184
athene-70b-0725,1226.8363175262016
Meta-Llama-3.1-70B-Instruct-Turbo,1218.4604144273876
gemma-2-27b-it,1212.8016248630688
gemini-1.5-flash-api-0514,1211.693311513784
yi-large-preview,1208.0616217565102
reka-core-20240722,1206.5393944163184
deepseek-v2-api-0628,1206.1061049382834
jamba-1.5-large,1205.778986224966
deepseek-coder-v2-0724,1203.635575919658
gpt4_0314,1201.3736142869534
claude-3-sonnet-20240229,1198.788244660131
Meta-Llama-3-70B-Instruct,1197.7184756597394
nemotron-4-340b-instruct,1196.8449165889588
yi-large,1196.6489596791284
glm-4-0520,1192.6419975755052
gpt4_0613,1187.533588703177
deepseek-coder-v2,1187.220550036654
bard-jan-24-gemini-pro,1186.7786015127676
gemma-2-9b-it,1184.147303556702
command-r-plus,1183.5633750072107
qwen2-72b-instruct,1182.2311765979275
reka-core-20240501,1181.0836650169886
reka-flash-20240722,1179.5671181917237
claude-3-haiku-20240307,1178.7555858527744
gemini-1.5-flash-8b-exp-0827,1174.7175207639489
qwen-max-0428,1174.0535470578138
jamba-1.5-mini,1167.523873176517
glm-4-0116,1164.3514371124302
claude,1160.6920512153715
mistral-large-2402,1158.3977699678276
Qwen1.5-110B-Chat,1157.474880468409
reka-flash-preview-20240611,1153.5611541757485
reka-flash-21b-20240226-online,1153.0845647226165
gemini-pro-dev-api,1152.9885798024734
mistral-next,1151.5900962491564
Mixtral-8x22B-Instruct-v0.1,1149.4679001500822
Qwen1.5-72B-Chat,1149.102336453705
command-r,1147.9929972383397
claude-2,1147.4623958161146
Meta-Llama-3-8B-Instruct,1145.0883382042957
reka-flash-21b-20240226,1143.5234249655218
gpt-3.5-turbo-0314,1141.2525578880445
gpt-3.5-turbo-0125,1140.2614067738114
mistral-medium,1140.012408023772
gpt-3.5-turbo-0613,1138.1333031366594
claude-2.1,1137.7354550577006
gemini-pro,1136.5507152595133
yi-1.5-34b-chat,1135.6375922046238
zephyr-orpo-141b-A35b-v0.1,1132.6595341506816
claude-instant-1,1129.7039185230108
Meta-Llama-3.1-8B-Instruct-Turbo,1128.2256183205857
qwen1.5-32b-chat,1128.056222431262
phi-3-medium-4k-instruct,1119.774893033972
gemma-2-2b-it,1116.3426872585273
dbrx-instruct-preview,1114.1063827556966
Mixtral-8x7B-Instruct-v0.1,1114.0
gpt-3.5-turbo-1106,1112.2017008283342
Qwen1.5-14B-Chat,1107.8512529941827
gemma-1.1-7b-it,1107.0960703046758
wizardlm-70b,1105.0152448390481
snowflake-arctic-instruct,1103.487750817665
Yi-34B-Chat,1102.0169013092132
openchat-3.5-0106,1101.6403763835558
phi-3-small-8k-instruct,1099.0715873848321
openchat-3.5,1095.592779169725
vicuna-33b,1091.9491786031263
starling-lm-7b-beta,1090.9654009182836
tulu-2-dpo-70b,1090.8013337322418
deepseek-llm-67b-chat,1090.5567285744173
OpenHermes-2.5-Mistral-7B,1089.3623127618434
Starling-LM-7B-alpha,1082.5905271175993
llama-2-70b-chat-hf,1081.0690421936029
pplx-70b-online,1078.081738102029
nous-hermes-2-mixtral-8x7b-dpo,1070.5359456560718
llama2-70b-steerlm-chat,1069.5676636330938
phi-3-mini-4k-instruct-june-2024,1068.7983692849448
Qwen1.5-7B-Chat,1067.9634177695498
Mistral-7B-Instruct-v0.2,1066.7536665487141
solar-10.7b-instruct-v1.0,1064.331433207196
wizardlm-13b,1064.012433238634
mpt-30b-chat,1061.8707035430684
falcon-180b-chat,1061.5681701203484
dolphin-2.2.1-mistral-7b,1061.1957793849672
vicuna-13b,1059.6103546073934
phi-3-mini-4k-instruct,1055.7034880814685
Qwen-14B-Chat,1055.1404778172173
gemma-7b-it,1053.5709691847742
llama-2-13b-chat-hf,1053.1702791843313
phi-3-mini-128k-instruct,1050.2934091159154
zephyr-7b-beta,1047.4567205563944
palm-2,1046.1479560332482
codellama-34b-instruct,1045.5569975039734
gemma-1.1-2b-it,1044.5450842816713
pplx-7b-online,1043.0383266614795
guanaco-33b,1041.3778894558482
zephyr-7b-alpha,1039.2161193219686
stripedhyena-nous-7b,1034.4999320841493
codellama-70b-instruct,1033.5188244680976
mistral-7b-instruct,1024.958863339451
llama-2-7b-chat-hf,1024.6530953878605
vicuna-7b,1022.112465558062
gemma-2b-it,1018.1430367986609
qwen1.5-4b-chat,1014.8016300670473
olmo-7b-instruct,994.0460381144876
gpt4all-13b-snoozy,988.1617151003138
koala-13b,981.0291171896868
alpaca-13b,973.2452005798973
chatglm3-6b,972.025742790255
mpt-7b-chat,970.3459012107913
RWKV-4-Raven-14B,951.9312541129083
oasst-sft-pythia-12b,934.5433883460323
chatglm2-6b,927.930176804431
fastchat-t5-3b,901.2917594383747
chatglm-6b,890.903885586166
dolly-v2-12b,887.9747317562213
llama-13b,880.0485739827922
stablelm-tuned-alpha-7b,861.5924900968045
